Basin Id|Segment ID|On Segment|RFA/Tag ID|Station ID|End Date|End Time|End Depth|Start Date|Start Time|Start Depth|Composite Category|Composite Type|Comment|Submitting Entity|Collecting Entity|Monitoring Type|Parameter Code|Greater Than/Less Than|Value|MDL|LOQ|Data Qualifier|Verify Flag|Validation Flag|Rating Flag|Nelac Status|Exempt Status
22|2202|Y|O0N1935|13079|08/20/2013|11:06|0.3||||||Very turbid; a large rainshower went through approximately 1 hour before we arrived.|NR|NR|RT|00680||5.63|||||||USABLE|
22|2202|Y|O0N1935|13079|08/20/2013|11:06|0.3||||||Very turbid; a large rainshower went through approximately 1 hour before we arrived.|NR|NR|RT|01351||3|||||||USABLE|
22|2202|Y|O0N1803|13079|02/19/2013|10:55|0.3||||||trash|NR|NR|RT|00630||7.3|||||||USABLE|
22|2202|Y|O0N1413|13079|02/28/2012|10:50|0.3||||||trash|NR|NR|RT|31699||46|||||||USABLE|
22|2202|Y|O0N1413|13079|02/28/2012|10:50|0.3||||||trash|NR|NR|RT|01351||3|||||||USABLE|
22|2202|Y|O0N1413|13079|02/28/2012|10:50|0.3||||||trash|NR|NR|RT|00094||3920|||||||USABLE|
22|2202|Y|O0N1413|13079|02/28/2012|10:50|0.3||||||trash|NR|NR|RT|72053||3|||||||USABLE|
22|2202|Y|O060896|13074|08/16/2006|14:35|0.7|08/15/2006|14:35|0.7|T|CN||NR|NR|DI|82903||1.6|||||||USABLE|
22|2202|Y|O060796|13074|07/13/2006|13:30|0.6|07/12/2006|13:30|0.6|T|CN||NR|NR|DI|82903||1.6|||||||USABLE|
22|2202|Y|1036841|13074|11/28/2007|11:40|0.3|||||||WC|FO|RT|00630||5.39|0.04||||||USABLE|
22|2202|Y|1045536|13074|04/17/2008|10:30|0.3|||||||WC|FO|RT|00625||1.13|0.1||||||USABLE|
22|2202|Y|O0N0543|13079|07/15/2009|10:10|0.3|||||||NR|NR|RT|00630||2.65|||||||USABLE|
